location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Sparks,co,ppm,US,Reno-Sparks,00:00.0,39.54092,-119.746764,0.731746032
St. Lukes Meridian,co,ppm,US,Boise City-Nampa,00:00.0,43.600699,-116.347853,0.293333333
Stockton - Hazelton,co,ppm,US,Stockton,00:00.0,37.95075,-121.26897,0.274561404
Sunrise Acres,co,ppm,US,Las Vegas-Paradise,00:00.0,36.163962,-115.11393,1.214893617
TOR,co,ppm,US,PHILADELPHIA,00:00.0,40.054171,-74.985166,0.597903226
TRINITY ST MARKS,co,ppm,US,Detroit-Warren-Livonia,00:00.0,42.295824,-83.129431,0.33968254
Taft,co,ppm,US,Cincinnati-Middletown,00:00.0,39.12886,-84.50404,0.228360656
Triple Oak - Near Ro,co,ppm,US,Raleigh-Cary,00:00.0,35.8652,-78.8197,0.244915254
Tulsa,co,ppm,US,Tulsa,00:00.0,36.206699,-95.976402,0.487567568
Underhill,co,ppm,US,Burlington-South Burlington,00:00.0,44.528389,-72.868973,0.111694915
Upland,co,ppm,US,Riverside-San Bernardino-Ontario,00:00.0,34.10366,-117.629096,0.713015873
Ute 1,co,ppm,US,Durango,00:00.0,37.13678,-107.62863,0.170333333
Vallejo,co,ppm,US,Vallejo-Fairfield,00:00.0,38.102507,-122.237976,0.247894737
Welby - 78th Ave. &,co,ppm,US,Denver-Aurora,00:00.0,39.8392,-104.9489,0.475862069
West Chandler Fire S,co,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.299,-111.8843,0.459677419
West Los Angeles - V,co,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,34.051097,-118.456386,0.435737705
West Phoenix,co,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.483799,-112.142601,1.283333333
West Yellowstone Par,co,ppm,US,GALLATIN,00:00.0,44.657014,-111.089618,0.153636364
Winter Park,co,ppm,US,Orlando-Kissimmee,00:00.0,28.5997,-81.3628,0.374468085
Worcester,co,ppm,US,Worcester,00:00.0,42.263901,-71.794701,0.43
