location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
East High School,pm25,µg/m³,US,Akron,00:00.0,41.063526,-81.468956,9.478571429
Eau Claire,pm25,µg/m³,US,EAU CLAIRE,00:00.0,44.761398,-91.413002,13.17857143
Eisenhower Park,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,00:00.0,40.7447,-73.5869,4.035714286
El Cajon - Lexington,pm25,µg/m³,US,San Diego-Carlsbad-San Marcos,00:00.0,32.789561,-116.944222,9.183333333
El Paso UTEP C12,pm25,µg/m³,US,El Paso,00:00.0,31.768056,-106.501111,14.26923077
El Rio - Rio Mesa Sc,pm25,µg/m³,US,Oxnard-Thousand Oaks-Ventura,00:00.0,34.2653,-119.1336,8.5
Elizabeth Trailer,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,00:00.0,40.641441,-74.208366,11.725
Elk Grove,pm25,µg/m³,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.302591,-121.420838,6.428571429
Ellensburg-Ruby St,pm25,µg/m³,US,Ellensburg,00:00.0,46.9936,-120.545,4.428571429
Ely,pm25,µg/m³,US,LAKE,00:00.0,47.9464,-91.4953,6.357142857
"Emmetsburg, ILCC",pm25,µg/m³,US,PALO ALTO,00:00.0,43.123299,-94.693298,7.214285714
Enoch,pm25,µg/m³,US,IRON,00:00.0,37.747445,-113.055524,10.53571429
Enterprise - US Fore,pm25,µg/m³,US,WALLOWA,00:00.0,45.426351,-117.296066,4.553846154
Erda,pm25,µg/m³,US,TOOELE,00:00.0,40.600556,-112.355,7.028571429
Erie,pm25,µg/m³,US,Erie,00:00.0,42.1428,-80.0372,4.630434783
Eugene - Amazon Park,pm25,µg/m³,US,Eugene-Springfield,00:00.0,44.0263,-123.08377,12.61428571
Eugene - Highway 99,pm25,µg/m³,US,Eugene-Springfield,00:00.0,44.067223,-123.14135,9.4
Eugene - Wilkes Dr.,pm25,µg/m³,US,Eugene-Springfield,00:00.0,44.1158,-123.12107,10.32142857
FAB,pm25,µg/m³,US,PHILADELPHIA,00:00.0,39.9603,-75.1424,7.842857143
FIVCO,pm25,µg/m³,US,Huntington-Ashland,00:00.0,38.4592,-82.6339,22.97857143
FLINT,pm25,µg/m³,US,Flint,00:00.0,43.0289,-83.669403,3.833333333
FRANCONIA,pm25,µg/m³,US,Washington-Arlington-Alexandria,00:00.0,38.771702,-77.108902,7.071428571
Fall River,pm25,µg/m³,US,Providence-New Bedford-Fall River,00:00.0,41.6833,-71.169701,9.571428571
Farrell,pm25,µg/m³,US,Youngstown-Warren-Boardman,00:00.0,41.215,-80.485,12.01428571
