location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Blaine,o3,ppm,US,Minneapolis-St. Paul-Bloomington,00:00.0,45.1425,-93.2139,0.020642857
Blind Services; 1185,o3,ppm,US,Deltona-Daytona Beach-Ormond Beach,00:00.0,29.2069,-81.0531,0.012666667
Bloomfield,o3,ppm,US,Farmington,00:00.0,36.7422,-107.9769,0.000285714
Blue Point Sheriff S,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.5455,-111.6093,0.029133333
Blythe,o3,ppm,US,Riverside-San Bernardino-Ontario,00:00.0,33.61235,-114.60209,0.011153846
Bondville,o3,ppm,US,Champaign-Urbana,00:00.0,40.0519,-88.3724,0.006923077
Bonifay,o3,ppm,US,HOLMES,00:00.0,30.8475,-85.6044,0.022777778
Boonville,o3,ppm,US,Evansville,00:00.0,38.0519,-87.2783,0.015428571
Boston - Roxbury,o3,ppm,US,Boston-Cambridge-Quincy,00:00.0,42.329399,-71.082497,0.029642857
Boulder,o3,ppm,US,SUBLETTE,00:00.0,42.7186,-109.7531,0.032266667
Boulder City,o3,ppm,US,Las Vegas-Paradise,00:00.0,35.978149,-114.846313,0.042
Boulder Reservoir,o3,ppm,US,BOULDER,00:00.0,40.070007,-105.220232,0.023461538
Brigantine,o3,ppm,US,Atlantic City,00:00.0,39.46487,-74.448738,0.024727273
Brighton Township,o3,ppm,US,Pittsburgh,00:00.0,40.6847,-80.3597,0.026266667
Bristol,o3,ppm,US,Elkhart-Goshen,00:00.0,41.7178,-85.8247,0.016631579
Broadus,o3,ppm,US,POWDER RIVER,00:00.0,45.440295,-105.37028,0.024153846
Brockton,o3,ppm,US,PLYMOUTH,00:00.0,42.065119,-71.012686,0.032
Bronx - IS52,o3,ppm,US,New York-Northern New Jersey-Long Island,00:00.0,40.816101,-73.902199,0.027
Brownstown,o3,ppm,US,Seymour,00:00.0,38.920835,-86.080523,0.021142857
Buckeye,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.37,-112.6207,0.0056
Burdens Creek,o3,ppm,US,Durham,00:00.0,35.889402,-78.8747,0.024076923
C GRANDE,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,32.9544,-111.7622,0.025266667
CARPENTER,o3,ppm,US,Des Moines,00:00.0,41.6031,-93.643303,0.023692308
CCNY,o3,ppm,US,New York-Northern New Jersey-Long Island,00:00.0,40.8197,-73.9481,0.024363636
CC_Armory,o3,ppm,US,CARSON CITY,00:00.0,39.144804,-119.766409,0.015714286
CHARLESTON,o3,ppm,US,KANAWHA,00:00.0,38.346258,-81.621161,0.009428571
CHICOPEE,o3,ppm,US,Springfield,00:00.0,42.194401,-72.555603,0.035
CHI_COM,o3,ppm,US,Chicago-Naperville-Joliet,00:00.0,41.7547,-87.7136,0.0055
CHI_SWFP,o3,ppm,US,Chicago-Naperville-Joliet,00:00.0,41.755798,-87.545303,0.024076923
CHI_TAFT,o3,ppm,US,Chicago-Naperville-Joliet,00:00.0,41.984402,-87.791901,0.004
CICERO,o3,ppm,US,Chicago-Naperville-Joliet,00:00.0,41.855301,-87.752502,0.006230769
Caddo Valley,o3,ppm,US,Arkadelphia,00:00.0,34.1795,-93.0988,0.0065
Calaveras Lake C59,o3,ppm,US,San Antonio,00:00.0,29.275299,-98.311699,0.007769231
Calexico - Ethel Str,o3,ppm,US,El Centro,00:00.0,32.67618,-115.48307,0.020636364
Calvert,o3,ppm,US,Washington-Arlington-Alexandria,00:00.0,38.536722,-76.617194,0.022833333
Camden Spruce St,o3,ppm,US,Philadelphia-Camden-Wilmington,00:00.0,39.934446,-75.125291,0.028923077
Camp Bullis C58,o3,ppm,US,San Antonio,00:00.0,29.6322,-98.565002,0.005461538
Camp Pendleton,o3,ppm,US,San Diego-Carlsbad-San Marcos,00:00.0,33.217026,-117.396156,0.013916667
Candor,o3,ppm,US,MONTGOMERY,00:00.0,35.26,-79.84,0.029307692
Cannons Lane,o3,ppm,US,Louisville,00:00.0,38.2286,-85.6544,0.013428571
Canyonlands NP,o3,ppm,US,SAN JUAN,00:00.0,38.4583,-109.8211,0.037214286
Cape Coral Fire Stat,o3,ppm,US,Cape Coral-Fort Myers,00:00.0,26.5475,-81.9797,0.031333333
Cape Elizabeth,o3,ppm,US,Portland-South Portland-Biddeford,00:00.0,43.561043,-70.207321,0.035428571
Cape Romain,o3,ppm,US,Charleston-North Charleston,00:00.0,32.941002,-79.656998,0.0256
Capitol,o3,ppm,US,Baton Rouge,00:00.0,30.4622,-91.1769,0.020785714
Carlsbad,o3,ppm,US,Carlsbad-Artesia,00:00.0,32.38,-104.2622,0.014727273
Carlyss,o3,ppm,US,Lake Charles,00:00.0,30.1433,-93.3719,0.016466667
Carpinteria,o3,ppm,US,Santa Barbara-Santa Maria,00:00.0,34.402802,-119.457497,0.027153846
Carrithers Middle Sc,o3,ppm,US,JEFFERSON,00:00.0,38.1825,-85.5744,0.015214286
Carrizo,o3,ppm,US,San Luis Obispo-Paso Robles,00:00.0,35.35474,-120.04013,0.019733333
Carville,o3,ppm,US,Baton Rouge,00:00.0,30.1975,-91.1283,0.0294
Casper Gaseous,o3,ppm,US,Casper,00:00.0,42.82231,-106.36501,0.0351875
Cave Creek,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.8217,-112.0174,0.039266667
Cedar Bluff,o3,ppm,US,TREGO,00:00.0,38.7703,-99.7636,0.027142857
Cedar Creek,o3,ppm,US,GILMER,00:00.0,38.8795,-80.8477,0.010571429
Centennial,o3,ppm,US,Laramie,00:00.0,41.3642,-106.2399,0.042923077
Central Phoenix,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.4579,-112.046,0.0024
Chaco Culture Nation,o3,ppm,US,SAN JUAN,00:00.0,36.035,-107.904167,0.023142857
Chamizal C41,o3,ppm,US,El Paso,00:00.0,31.7656,-106.455,0.005428571
Channelview C15,o3,ppm,US,Houston-Sugar Land-Baytown,00:00.0,29.8025,-95.1256,0.008785714
Chanute,o3,ppm,US,NEOSHO,00:00.0,37.67696,-95.47594,0.025142857
Chaparral,o3,ppm,US,Las Cruces,00:00.0,32.0411,-106.4092,0.024
Charleroi,o3,ppm,US,Pittsburgh,00:00.0,40.1469,-79.9033,0.021933333
Charlestown State Pa,o3,ppm,US,Louisville,00:00.0,38.393833,-85.664167,0.017928571
Chatfield Park - 115,o3,ppm,US,Denver-Aurora,00:00.0,39.5339,-105.07,0.021214286
Cheeka Peak,o3,ppm,US,Port Angeles,00:00.0,48.2867,-124.6203,0.038928571
Chelmsford,o3,ppm,US,Boston-Cambridge-Quincy,00:00.0,42.6267,-71.3622,0.034928571
ChelmsfordNR,o3,ppm,US,MIDDLESEX,00:00.0,42.612113,-71.307519,0.034785714
Chester,o3,ppm,US,Philadelphia-Camden-Wilmington,00:00.0,39.8356,-75.3725,0.028071429
Chesterfield,o3,ppm,US,CHESTERFIELD,00:00.0,34.615299,-80.198898,0.027888889
Cheyenne NCore,o3,ppm,US,Cheyenne,00:00.0,41.18222,-104.778336,0.031357143
Chico -  East,o3,ppm,US,BUTTE,00:00.0,39.76168,-121.84047,0.012846154
