location,parameter,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Bridgeport,pm25,US,Bridgeport-Stamford-Norwalk,00:00.0,41.171398,-73.195297,5.371428571
Brigantine,pm25,US,Atlantic City,00:00.0,39.46487,-74.448738,10.84166667
Broadus,pm25,US,POWDER RIVER,00:00.0,45.440295,-105.37028,7.366666667
Brockton,pm25,US,PLYMOUTH,00:00.0,42.065119,-71.012686,4.571428571
Buffalo,pm25,US,Buffalo-Niagara Falls,00:00.0,42.8781,-78.8094,4.628571429
Buffalo Near-road,pm25,US,ERIE,00:00.0,42.92111,-78.76611,4.557142857
Burdens Creek,pm25,US,Durham,00:00.0,35.889402,-78.8747,13.35
Burlington,pm25,US,Burlington-South Burlington,00:00.0,44.476101,-73.210297,3.028571429
Burns - Washington S,pm25,US,HARNEY,00:00.0,43.58925,-119.048302,18.38571429
Butte (Harrison Cour,pm25,US,MATANUSKA-SUSITNA,00:00.0,61.534163,-149.031655,6.615384615
Butte Greely School,pm25,US,SILVER BOW,00:00.0,46.002399,-112.500893,4.42
CARPENTER,pm25,US,Des Moines,00:00.0,41.6031,-93.643303,6.428571429
CARY,pm25,US,Chicago-Naperville-Joliet,00:00.0,42.2211,-88.2411,17.61538462
CASTLE H,pm25,US,Wilmington,00:00.0,34.364167,-77.838611,5.5
CCNY,pm25,US,New York-Northern New Jersey-Long Island,00:00.0,40.8197,-73.9481,4.061538462
CC_Armory,pm25,US,CARSON CITY,00:00.0,39.144804,-119.766409,7.642857143
CHICOPEE,pm25,US,Springfield,00:00.0,42.194401,-72.555603,3.846153846
CHIWAUKEE,pm25,US,Chicago-Naperville-Joliet,00:00.0,42.5047,-87.8111,9.728571429
CHI_COM,pm25,US,Chicago-Naperville-Joliet,00:00.0,41.7547,-87.7136,15.80714286
CLEVELAND,pm25,US,BOLIVAR,00:00.0,33.750833,-90.734167,24.36428571
CORNER,pm25,US,Birmingham-Hoover,00:00.0,33.8017,-86.9425,8.107142857
Calexico - Ethel Str,pm25,US,El Centro,00:00.0,32.67618,-115.48307,12.78571429
Camden Spruce St,pm25,US,Philadelphia-Camden-Wilmington,00:00.0,39.934446,-75.125291,11.675
Camp Pendleton,pm25,US,San Diego-Carlsbad-San Marcos,00:00.0,33.217026,-117.396156,1.2625
Candor FRO,pm25,US,MONTGOMERY,00:00.0,35.263165,-79.836636,11.5
Cannons Lane,pm25,US,Louisville,00:00.0,38.2286,-85.6544,26.18571429
Canton,pm25,US,Canton-Massillon,00:00.0,40.800717,-81.373,11.39285714
Cape Romain,pm25,US,Charleston-North Charleston,00:00.0,32.941002,-79.656998,3.7875
Carlisle,pm25,US,Harrisburg-Carlisle,00:00.0,40.2464,-77.1867,7.157142857
Carrithers Middle Sc,pm25,US,JEFFERSON,00:00.0,38.1825,-85.5744,25.75
Casper Gaseous,pm25,US,Casper,00:00.0,42.82231,-106.36501,1.714285714
Catawba Indian Natio,pm25,US,N/A,00:00.0,34.91263,-80.874283,8.214285714
Cataño 40,pm25,US,CATANO,00:00.0,18.428388,-66.141657,6.15
Cave Junction Forest,pm25,US,JOSEPHINE,00:00.0,42.1617,-123.64835,15.50714286
Cedar Bluff,pm25,US,TREGO,00:00.0,38.7703,-99.7636,1.433333333
Chalmette Vista,pm25,US,New Orleans-Metairie-Kenner,00:00.0,29.9431,-89.9761,10.99333333
Charleroi,pm25,US,Pittsburgh,00:00.0,40.1469,-79.9033,16.54285714
Chatfield Park - 115,pm25,US,Denver-Aurora,00:00.0,39.5339,-105.07,5.984615385
Cheeka Peak,pm25,US,Port Angeles,00:00.0,48.2867,-124.6203,1.7
Chehalis-Market Blvd,pm25,US,LEWIS,00:00.0,46.664089,-122.967323,10.15
Chelan-Woodin Ave,pm25,US,CHELAN,00:00.0,47.83861,-120.02306,8.335714286
ChelmsfordNR,pm25,US,MIDDLESEX,00:00.0,42.612113,-71.307519,2.4
Chester,pm25,US,Philadelphia-Camden-Wilmington,00:00.0,39.8356,-75.3725,16.07142857
Chester BAM,pm25,US,PLUMAS,00:00.0,40.301899,-121.235001,14.07142857
Cheyenne NCore,pm25,US,Cheyenne,00:00.0,41.18222,-104.778336,3.5
Chico -  East,pm25,US,BUTTE,00:00.0,39.76168,-121.84047,12.14285714
Children's Park Site,pm25,US,Tucson,00:00.0,32.2953,-110.9822,6.785714286
Chiloquin,pm25,US,KLAMATH,00:00.0,42.541077,-121.921636,7.021428571
Chippewa Lake,pm25,US,Cleveland-Elyria-Mentor,00:00.0,41.0604,-81.9239,12.57142857
Cicero2,pm25,US,COOK,00:00.0,41.864329,-87.748826,23.45384615
Cincinnati Near Road,pm25,US,Cincinnati-Middletown,00:00.0,39.146025,-84.538375,26.55714286
City Park,pm25,US,New Orleans-Metairie-Kenner,00:00.0,29.9933,-90.1014,4.963636364
Clarkston-13th St,pm25,US,ASOTIN,00:00.0,46.425598,-117.059799,19.10714286
Clarksville,pm25,US,Clarksville,00:00.0,36.611411,-87.384666,19.08333333
Clemmons Middle,pm25,US,Winston-Salem,00:00.0,36.0261,-80.3419,9.821428571
Clinton C403,pm25,US,Houston-Sugar Land-Baytown,00:00.0,29.7339,-95.2575,23.9
"Clinton, Chancy Park",pm25,US,Clinton,00:00.0,41.823101,-90.211899,28.5
Clovis - N. Villa Av,pm25,US,Fresno,00:00.0,36.819199,-119.7164,22.47692308
Colbert-Greenbluff,pm25,US,Spokane,00:00.0,47.808226,-117.34327,8.3
Colfax,pm25,US,Sacramento--Arden-Arcade--Roseville,00:00.0,39.1003,-120.9528,6.25
Colorado College,pm25,US,Colorado Springs,00:00.0,38.848,-104.8286,5.569230769
Columbia,pm25,US,Nashville-Davidson--Murfreesboro,00:00.0,35.65188,-87.0096,12.31904762
Columbia Falls,pm25,US,FLATHEAD,00:00.0,48.363694,-114.189272,9.630769231
Columbus Airport,pm25,US,Columbus,00:00.0,32.5214,-84.9436,9.030769231
Columbus NR - Smoky,pm25,US,Columbus,00:00.0,40.11109,-83.065376,20.55
Colusa - Sunrise Blv,pm25,US,COLUSA,00:00.0,39.18919,-121.99887,10.5
Colville-E 1st St,pm25,US,STEVENS,00:00.0,48.54469,-117.903222,11.69230769
Concord,pm25,US,San Francisco-Oakland-Fremont,00:00.0,37.9383,-122.025,5.5
Conroe Relocated C78,pm25,US,Houston-Sugar Land-Baytown,00:00.0,30.3503,-95.425,11.10714286
Cookeville,pm25,US,Cookeville,00:00.0,36.1857,-85.4921,16.25
Copper View,pm25,US,Salt Lake City,00:00.0,40.598056,-111.894167,16.87142857
Cornwall,pm25,US,Torrington,00:00.0,41.833099,-73.303299,8.464285714
Corpus Christi Dona,pm25,US,Corpus Christi,00:00.0,27.811814,-97.4657,8.171428571
Corsicana C1051,pm25,US,Corsicana,00:00.0,32.0319,-96.3992,8.121428571
Corvallis - Circle B,pm25,US,Corvallis,00:00.0,44.5884,-123.2673,8.514285714
Cottage Grove City S,pm25,US,Eugene-Springfield,00:00.0,43.7995,-123.0535,8.507142857
Credit Union,pm25,US,Rapid City,00:00.0,44.087397,-103.273777,3.323076923
Crestline - Lake Gre,pm25,US,Riverside-San Bernardino-Ontario,00:00.0,34.243132,-117.272275,12.72857143
Crystal River Preser,pm25,US,Homosassa Springs,00:00.0,28.958372,-82.643094,2.666666667
Custer-Loomis (SO-AQ,pm25,US,Bellingham,00:00.0,48.950699,-122.554398,4.264285714
Cut Bank,pm25,US,MT1,00:00.0,48.607406,-112.363842,4
DCNearRoad,pm25,US,Washington-Arlington-Alexandria,00:00.0,38.894749,-76.953427,11.78571429
DEARBORN,pm25,US,Detroit-Warren-Livonia,00:00.0,42.3075,-83.15,6.057142857
DECATUR,pm25,US,Decatur,00:00.0,34.5286,-86.9706,13.68571429
DET POLICE 4TH,pm25,US,Detroit-Warren-Livonia,00:00.0,42.312158,-83.091943,8.283333333
DETROIT - SOUTHWEST,pm25,US,Detroit-Warren-Livonia,00:00.0,42.3042,-83.1072,16.31
DYERTEOM,pm25,US,Dyersburg,00:00.0,36.0528,-89.3819,12.75
Danbury,pm25,US,Bridgeport-Stamford-Norwalk,00:00.0,41.4014,-73.4447,4.628571429
Darrington-Fir St,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,48.246799,-121.603104,13.5
"Davenport, 10th & Vi",pm25,US,Davenport-Moline-Rock Island,00:00.0,41.529999,-90.587502,28.16428571
Davis - UCD Campus,pm25,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.53455,-121.7734,15.42857143
Dayton-W Main,pm25,US,COLUMBIA,00:00.0,46.318,-117.985,4.985714286
Del Norte,pm25,US,Albuquerque,00:00.0,35.1353,-106.584702,13.8
Denver - NJH - 14th,pm25,US,Denver-Aurora,00:00.0,39.7386,-104.9394,11.22307692
Detroit Lakes,pm25,US,BECKER,00:00.0,46.8511,-95.8467,6.571428571
Devils Lake,pm25,US,Baraboo,00:00.0,43.4356,-89.6803,14.07857143
Diablo,pm25,US,Phoenix-Mesa-Scottsdale,00:00.0,33.3961,-111.968,9.742857143
Division Street,pm25,US,New York-Northern New Jersey-Long Island,00:00.0,40.7142,-73.995,4.071428571
Douglas Red Cross,pm25,US,Sierra Vista-Douglas,00:00.0,31.3492,-109.539683,6.928571429
Downtown Sacramento,pm25,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.56844,-121.49311,18.42857143
Duluth-WDSE,pm25,US,Duluth,00:00.0,46.8183,-92.0892,7.125
Durango Complex,pm25,US,Phoenix-Mesa-Scottsdale,00:00.0,33.4265,-112.1181,25.48571429
Durham Armory,pm25,US,Durham,00:00.0,36.032955,-78.904037,8.785714286
E Providence,pm25,US,Providence-New Bedford-Fall River,00:00.0,41.840302,-71.361702,2.666666667
EAST VINTON ELEMENTA,pm25,US,Roanoke,00:00.0,37.285599,-79.884201,15.08571429
ELDOSPGS,pm25,US,CEDAR,00:00.0,37.70097,-94.03474,10.49166667
ETOWN2,pm25,US,Elizabethtown,00:00.0,37.7064,-85.8517,23.35
East Hartford,pm25,US,Hartford-West Hartford-East Hartford,00:00.0,41.7847,-72.6297,4.307142857
East High School,pm25,US,Akron,00:00.0,41.063526,-81.468956,9.478571429
Eau Claire,pm25,US,EAU CLAIRE,00:00.0,44.761398,-91.413002,13.17857143
Eisenhower Park,pm25,US,New York-Northern New Jersey-Long Island,00:00.0,40.7447,-73.5869,4.035714286
El Cajon - Lexington,pm25,US,San Diego-Carlsbad-San Marcos,00:00.0,32.789561,-116.944222,9.183333333
El Paso UTEP C12,pm25,US,El Paso,00:00.0,31.768056,-106.501111,14.26923077
El Rio - Rio Mesa Sc,pm25,US,Oxnard-Thousand Oaks-Ventura,00:00.0,34.2653,-119.1336,8.5
Elizabeth Trailer,pm25,US,New York-Northern New Jersey-Long Island,00:00.0,40.641441,-74.208366,11.725
Elk Grove,pm25,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.302591,-121.420838,6.428571429
Ellensburg-Ruby St,pm25,US,Ellensburg,00:00.0,46.9936,-120.545,4.428571429
Ely,pm25,US,LAKE,00:00.0,47.9464,-91.4953,6.357142857
"Emmetsburg, ILCC",pm25,US,PALO ALTO,00:00.0,43.123299,-94.693298,7.214285714
Enoch,pm25,US,IRON,00:00.0,37.747445,-113.055524,10.53571429
Enterprise - US Fore,pm25,US,WALLOWA,00:00.0,45.426351,-117.296066,4.553846154
Erda,pm25,US,TOOELE,00:00.0,40.600556,-112.355,7.028571429
Erie,pm25,US,Erie,00:00.0,42.1428,-80.0372,4.630434783
Eugene - Amazon Park,pm25,US,Eugene-Springfield,00:00.0,44.0263,-123.08377,12.61428571
Eugene - Highway 99,pm25,US,Eugene-Springfield,00:00.0,44.067223,-123.14135,9.4
Eugene - Wilkes Dr.,pm25,US,Eugene-Springfield,00:00.0,44.1158,-123.12107,10.32142857
FAB,pm25,US,PHILADELPHIA,00:00.0,39.9603,-75.1424,7.842857143
FIVCO,pm25,US,Huntington-Ashland,00:00.0,38.4592,-82.6339,22.97857143
FLINT,pm25,US,Flint,00:00.0,43.0289,-83.669403,3.833333333
FRANCONIA,pm25,US,Washington-Arlington-Alexandria,00:00.0,38.771702,-77.108902,7.071428571
Fall River,pm25,US,Providence-New Bedford-Fall River,00:00.0,41.6833,-71.169701,9.571428571
Farrell,pm25,US,Youngstown-Warren-Boardman,00:00.0,41.215,-80.485,12.01428571
Felton Cal-Fire,pm25,US,Santa Cruz-Watsonville,00:00.0,37.0481,-122.074603,6.285714286
Firearms Training,pm25,US,Louisville,00:00.0,38.23158,-85.82675,25.5
Flemington,pm25,US,New York-Northern New Jersey-Long Island,00:00.0,40.515251,-74.806755,10.9
Florence,pm25,US,Pittsburgh,00:00.0,40.4447,-80.42,18.84285714
Floyd Dryden,pm25,US,JUNEAU,00:00.0,58.388889,-134.565556,1.818181818
Fond du Lac,pm25,US,CARLTON,00:00.0,46.713694,-92.511722,3.7
Forest Park,pm25,US,St. Louis,00:00.0,38.631057,-90.281144,22.00769231
Fort Lee Near Road,pm25,US,New York-Northern New Jersey-Long Island,00:00.0,40.85355,-73.9661,6.608333333
Freemansburg,pm25,US,Allentown-Bethlehem-Easton,00:00.0,40.6281,-75.3411,8.564285714
French Settlement,pm25,US,Baton Rouge,00:00.0,30.315,-90.8114,9.55
French Town - Beckwi,pm25,US,MISSOULA,00:00.0,47.012907,-114.224273,11.33846154
Fresh Kills,pm25,US,New York-Northern New Jersey-Long Island,00:00.0,40.5802,-74.1994,4.591666667
Fresno - Garland,pm25,US,FRESNO,00:00.0,36.78538,-119.77321,22.27857143
Ft. Collins - CSU Fa,pm25,US,LARIMER,00:00.0,40.571259,-105.079765,7.014285714
