location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Belle Glade,pm25,µg/m³,US,PALM BEACH,2019-11-16 10:00:00.000000,26.724167,-80.663055,7.06666666666667
Bellevue-SE 12th,pm25,µg/m³,US,KING,2019-11-16 16:00:00.000000,47.600863,-122.148397,2.55714285714286
Bellingham Pacifc,pm25,µg/m³,US,WHATCOM,2019-11-16 16:00:00.000000,48.760036,-122.456463,4.53846153846154
Bend - Pump Station,pm25,µg/m³,US,Bend,2019-11-16 16:00:00.000000,44.063916,-121.312554,6.80714285714286
Bennington,pm25,µg/m³,US,Bennington,2019-11-16 16:00:00.000000,42.887501,-73.249702,3.3
Berkeley Aquatic Par,pm25,µg/m³,US,ALAMEDA,2019-11-16 16:00:00.000000,37.864767,-122.302741,9.91666666666667
Billlings Lockwood,pm25,µg/m³,US,YELLOWSTONE,2019-11-16 16:00:00.000000,45.806357,-108.426551,3.54615384615385
Birney,pm25,µg/m³,US,ROSEBUD,2019-11-16 14:00:00.000000,45.366151,-106.48982,1.87272727272727
Blaine,pm25,µg/m³,US,Minneapolis-St. Paul-Bloomington,2019-11-16 16:00:00.000000,45.1425,-93.2139,13.75
Blue Ridge I-70,pm25,µg/m³,US,Kansas City,2019-11-16 16:00:00.000000,39.047911,-94.450513,7.59166666666667
Bonifay,pm25,µg/m³,US,HOLMES,2019-11-16 16:00:00.000000,30.8475,-85.6044,10.9
Boston - Roxbury,pm25,µg/m³,US,Boston-Cambridge-Quincy,2019-11-16 16:00:00.000000,42.329399,-71.082497,6.71428571428571
Boston-Von Hillern,pm25,µg/m³,US,SUFFOLK,2019-11-16 16:00:00.000000,42.325197,-71.056056,5.85714285714286
Boulder - CU - 2102,pm25,µg/m³,US,Boulder,2019-11-16 16:00:00.000000,40.0128,-105.2667,5.90769230769231
Boulder Creek,pm25,µg/m³,US,Santa Cruz-Watsonville,2019-11-16 16:00:00.000000,37.125861,-122.122127,5.21428571428571
Bozeman High School,pm25,µg/m³,US,GALLATIN,2019-11-16 14:00:00.000000,45.683765,-111.056282,5.56666666666667
Brainerd,pm25,µg/m³,US,Brainerd,2019-11-16 16:00:00.000000,46.3944,-94.1433,6.07142857142857
Branch Street,pm25,µg/m³,US,ST. LOUIS (CITY),2019-11-16 16:00:00.000000,38.65643,-90.18977,19.3153846153846
Bremerton-Spruce Ave,pm25,µg/m³,US,KITSAP,2019-11-16 16:00:00.000000,47.592675,-122.627397,7.64285714285714
Bridgeport,pm25,µg/m³,US,Bridgeport-Stamford-Norwalk,2019-11-16 16:00:00.000000,41.171398,-73.195297,5.37142857142857
Brigantine,pm25,µg/m³,US,Atlantic City,2019-11-16 16:00:00.000000,39.46487,-74.448738,10.8416666666667
Broadus,pm25,µg/m³,US,POWDER RIVER,2019-11-16 16:00:00.000000,45.440295,-105.37028,7.36666666666667
Brockton,pm25,µg/m³,US,PLYMOUTH,2019-11-16 16:00:00.000000,42.065119,-71.012686,4.57142857142857
Buffalo,pm25,µg/m³,US,Buffalo-Niagara Falls,2019-11-16 16:00:00.000000,42.8781,-78.8094,4.62857142857143
Buffalo Near-road,pm25,µg/m³,US,ERIE,2019-11-16 16:00:00.000000,42.92111,-78.76611,4.55714285714286
Burdens Creek,pm25,µg/m³,US,Durham,2019-11-16 16:00:00.000000,35.889402,-78.8747,13.35
Burlington,pm25,µg/m³,US,Burlington-South Burlington,2019-11-16 16:00:00.000000,44.476101,-73.210297,3.02857142857143
Burns - Washington S,pm25,µg/m³,US,HARNEY,2019-11-16 16:00:00.000000,43.58925,-119.048302,18.3857142857143
Butte (Harrison Cour,pm25,µg/m³,US,MATANUSKA-SUSITNA,2019-11-16 15:00:00.000000,61.534163,-149.031655,6.61538461538462
Butte Greely School,pm25,µg/m³,US,SILVER BOW,2019-11-16 07:00:00.000000,46.002399,-112.500893,4.42
CARPENTER,pm25,µg/m³,US,Des Moines,2019-11-16 16:00:00.000000,41.6031,-93.643303,6.42857142857143
CARY,pm25,µg/m³,US,Chicago-Naperville-Joliet,2019-11-16 16:00:00.000000,42.2211,-88.2411,17.6153846153846
CASTLE H,pm25,µg/m³,US,Wilmington,2019-11-16 16:00:00.000000,34.364167,-77.838611,5.5
CCNY,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,2019-11-16 15:00:00.000000,40.8197,-73.9481,4.06153846153846
CC_Armory,pm25,µg/m³,US,CARSON CITY,2019-11-16 16:00:00.000000,39.144804,-119.766409,7.64285714285714
CHICOPEE,pm25,µg/m³,US,Springfield,2019-11-16 16:00:00.000000,42.194401,-72.555603,3.84615384615385
CHIWAUKEE,pm25,µg/m³,US,Chicago-Naperville-Joliet,2019-11-16 16:00:00.000000,42.5047,-87.8111,9.72857142857143
CHI_COM,pm25,µg/m³,US,Chicago-Naperville-Joliet,2019-11-16 16:00:00.000000,41.7547,-87.7136,15.8071428571429
CLEVELAND,pm25,µg/m³,US,BOLIVAR,2019-11-16 16:00:00.000000,33.750833,-90.734167,24.3642857142857
CORNER,pm25,µg/m³,US,Birmingham-Hoover,2019-11-16 16:00:00.000000,33.8017,-86.9425,8.10714285714286
Calexico - Ethel Str,pm25,µg/m³,US,El Centro,2019-11-16 16:00:00.000000,32.67618,-115.48307,12.7857142857143
Camden Spruce St,pm25,µg/m³,US,Philadelphia-Camden-Wilmington,2019-11-16 16:00:00.000000,39.934446,-75.125291,11.675
Camp Pendleton,pm25,µg/m³,US,San Diego-Carlsbad-San Marcos,2019-11-16 16:00:00.000000,33.217026,-117.396156,1.2625
Candor FRO,pm25,µg/m³,US,MONTGOMERY,2019-11-16 16:00:00.000000,35.263165,-79.836636,11.5
Cannons Lane,pm25,µg/m³,US,Louisville,2019-11-16 16:00:00.000000,38.2286,-85.6544,26.1857142857143
Canton,pm25,µg/m³,US,Canton-Massillon,2019-11-16 16:00:00.000000,40.800717,-81.373,11.3928571428571
